Age,Gender,CDate,Cloc,Ccountry-iso_alpha,CHist,Mem,3Wrds,ColorHex,ColorRes
,,12/27/20,,,The number of confirmed cases of COVID-19 passes 80 million worldwide.,,,,
,,12/28/20,,,,,,,
,,12/29/20,,,,,,,
,,12/30/20,,,"The United Kingdom approves AstraZeneca-Oxford's vaccine, the second one available. The vaccine is easier to store as it only requires normal fridge temperatures, making distribution easier.",,,,
,,12/31/20,,,,,,,
,,1/1/21,,,,,,,
,,1/2/21,,,,,,,
,,1/3/21,,,,,,,
,,1/4/21,,,,,,,
,,1/5/21,,,,,,,
,,1/6/21,,,,,,,
,,1/7/21,,,,,,,
,,1/8/21,,,,,,,
,,1/9/21,,,,,,,
,,1/10/21,,,,,,,
,,1/11/21,,,,,,,
,,1/12/21,,,,,,,
,,1/13/21,,,,,,,
,,1/14/21,,,,,,,
,,1/15/21,,,The global death toll from COVID-19 passes 2 million.,,,,
,,1/16/21,,,,,,,
,,1/17/21,,,,,,,
,,1/18/21,,,,,,,
,,1/19/21,,,,,,,
,,1/20/21,,,,,,,
,,1/21/21,,,,,,,
,,1/22/21,,,,,,,
,,1/23/21,,,,,,,
,,1/24/21,,,,,,,
,,1/25/21,,,,,,,
,,1/26/21,,,The number of confirmed COVID-19 cases exceeds 100 million worldwide.,,,,
,,1/27/21,,,,,,,
,,1/28/21,,,,,,,
,,1/29/21,,,The European Union invokes Article 16 of the Northern Ireland Protocol following a row over COVID-19 vaccine supplies before reversing the decision.,,,,
,,1/30/21,,,,,,,
,,1/31/21,,,,,,,
,,2/1/21,,,The number of vaccinations administered worldwide exceeds 100 million.,,,,
,,2/2/21,,,,,,,
,,2/3/21,,,,,,,
,,2/4/21,,,,,,,
,,2/5/21,,,,,,,
,,2/6/21,,,,,,,
,,2/7/21,,,,,,,
,,2/8/21,,,,,,,
,,2/9/21,,,"A joint WHO�China investigation into the source of the outbreak concludes. Investigators deem a Wuhan laboratory leak to be ""extremely unlikely"", with a ""natural reservoir"" in bats being a more likely origin.",,,,
,,2/10/21,,,,,,,
,,2/11/21,,,,,,,
,,2/12/21,,,,,,,
,,2/13/21,,,,,,,
,,2/14/21,,,,,,,
,,2/15/21,,,,,,,
,,2/16/21,,,,,,,
,,2/17/21,,,,,,,
,,2/18/21,,,,,,,
,,2/19/21,,,,,,,
,,2/20/21,,,,,,,
,,2/21/21,,,,,,,
,,2/22/21,,,"The United States becomes the first country to surpass 500,000 deaths from the virus.",,,,
,,2/23/21,,,,,,,
,,2/24/21,,,Ghana becomes the first country to receive vaccines through the COVAX vaccine-sharing initiative.,,,,
,,2/25/21,,,The global death toll from COVID-19 surpasses 2.5 million.,,,,
,,2/26/21,,,,,,,
,,2/27/21,,,,,,,
,,2/28/21,,,,,,,
,,3/1/21,,,,,,,
,,3/2/21,,,,,,,
,,3/3/21,,,,,,,
,,3/4/21,,,,,,,
,,3/5/21,,,Moldova becomes the first country in Europe to receive vaccines through COVAX.,,,,
,,3/6/21,,,,,,,
,,3/7/21,,,,,,,
,,3/8/21,,,,,,,
,,3/9/21,,,,,,,
,,3/10/21,,,,,,,
,,3/11/21,,,,,,,
,,3/12/21,,,,,,,
,,3/13/21,,,,,,,
,,3/14/21,,,,,,,
,,3/15/21,,,,,,,
,,3/16/21,,,,,,,
,,3/17/21,,,,,,,
,,3/18/21,,,,,,,
,,3/19/21,,,,,,,
,,3/20/21,,,,,,,
,,3/21/21,,,,,,,
,,3/22/21,,,,,,,
,,3/23/21,,,,,,,
,,3/24/21,,,,,,,
,,3/25/21,,,The number of vaccinations administered worldwide exceeds 500 million.,,,,
,,3/26/21,,,,,,,
,,3/27/21,,,,,,,
,,3/28/21,,,,,,,
,,3/29/21,,,,,,,
,,3/30/21,,,,,,,
,,3/31/21,,,,,,,
